Voltage, Current 
28507, 10247 
28507, 10247 
28507, 10247 
28507, 10247 
28507, 10247 
28497, 10351 
28497, 10351 
28497, 10351 
28497, 10351 
28497, 10351 
28482, 9666 
28482, 9666 
28482, 9666 
28482, 9666 
28482, 9666 
28502, 8500 
28502, 8500 
28502, 8500 
28502, 8500 
28502, 8500 
28496, 8913 
28496, 8913 
28496, 8913 
28496, 8913 
28496, 8913 
28494, 8276 
28494, 8276 
28494, 8276 
28494, 8276 
28494, 8276 
28512, 7039 
28512, 7039 
28512, 7039 
28512, 7039 
28512, 7039 
28535, 5835 
28535, 5835 
28535, 5835 
28535, 5835 
28535, 5835 
28511, 7427 
28511, 7427 
28511, 7427 
28511, 7427 
28511, 7427 
28472, 9354 
28472, 9354 
28472, 9354 
28472, 9354 
28472, 9354 
28430, 10515 
28430, 10515 
28430, 10515 
28430, 10515 
28430, 10515 
28436, 9366 
28436, 9366 
28436, 9366 
28436, 9366 
28436, 9366 
28433, 8521 
28433, 8521 
28433, 8521 
28433, 8521 
28433, 8521 
28462, 7033 
28462, 7033 
28462, 7033 
28462, 7033 
28462, 7033 
28466, 6535 
28466, 6535 
28466, 6535 
28466, 6535 
28466, 6535 
28441, 8018 
28441, 8018 
28441, 8018 
28441, 8018 
28441, 8018 
28418, 8875 
28418, 8875 
28418, 8875 
28418, 8875 
28418, 8875 
28398, 9122 
28398, 9122 
28398, 9122 
28398, 9122 
28398, 9122 
28363, 10783 
28363, 10783 
28363, 10783 
28363, 10783 
28363, 10783 
28313, 11823 
28313, 11823 
28313, 11823 
28313, 11823 
28313, 11823 
28309, 11291 
28309, 11291 
28309, 11291 
28309, 11291 
28309, 11291 
28292, 11271 
28292, 11271 
28292, 11271 
28292, 11271 
28292, 11271 
28263, 12009 
28263, 12009 
28263, 12009 
28263, 12009 
28263, 12009 
28249, 11973 
28249, 11973 
28249, 11973 
28249, 11973 
28249, 11973 
28277, 9261 
28277, 9261 
28277, 9261 
28277, 9261 
28277, 9261 
28307, 7799 
28307, 7799 
28307, 7799 
28307, 7799 
28307, 7799 
28333, 6472 
28333, 6472 
28333, 6472 
28333, 6472 
28333, 6472 
28371, 4492 
28371, 4492 
28371, 4492 
28371, 4492 
28371, 4492 
28375, 5257 
28375, 5257 
28375, 5257 
28375, 5257 
28375, 5257 
28368, 5480 
28368, 5480 
28368, 5480 
28368, 5480 
28368, 5480 
28367, 5590 
28367, 5590 
28367, 5590 
28367, 5590 
28367, 5590 
28361, 5782 
28361, 5782 
28361, 5782 
28361, 5782 
28361, 5782 
28373, 4995 
28373, 4995 
28373, 4995 
28373, 4995 
28373, 4995 
28359, 5871 
28359, 5871 
28359, 5871 
28359, 5871 
28359, 5871 
28304, 8551 
28304, 8551 
28304, 8551 
28304, 8551 
28304, 8551 
28282, 8498 
28282, 8498 
28282, 8498 
28282, 8498 
28282, 8498 
28243, 9656 
28243, 9656 
28243, 9656 
28243, 9656 
28243, 9656 
28228, 9195 
28228, 9195 
28228, 9195 
28228, 9195 
28228, 9195 
28237, 8087 
28237, 8087 
28237, 8087 
28237, 8087 
28237, 8087 
28245, 7335 
28245, 7335 
28245, 7335 
28245, 7335 
28245, 7335 
28257, 6688 
28257, 6688 
28257, 6688 
28257, 6688 
28257, 6688 
28240, 7460 
28240, 7460 
28240, 7460 
28240, 7460 
28240, 7460 
28214, 8621 
28214, 8621 
28214, 8621 
28214, 8621 
28214, 8621 
28193, 9131 
28193, 9131 
28193, 9131 
28193, 9131 
28193, 9131 
28167, 9745 
28167, 9745 
28167, 9745 
28167, 9745 
28167, 9745 
28141, 10311 
28141, 10311 
28141, 10311 
28141, 10311 
28141, 10311 
28111, 11020 
28111, 11020 
28111, 11020 
28111, 11020 
28111, 11020 
28104, 10206 
28104, 10206 
28104, 10206 
28104, 10206 
28104, 10206 
28116, 8792 
28116, 8792 
28116, 8792 
28116, 8792 
28116, 8792 
28120, 8481 
28120, 8481 
28120, 8481 
28120, 8481 
28120, 8481 
28111, 8885 
28111, 8885 
28111, 8885 
28111, 8885 
28111, 8885 
28128, 7176 
28128, 7176 
28128, 7176 
28128, 7176 
28128, 7176 
28140, 6628 
28140, 6628 
28140, 6628 
28140, 6628 
28140, 6628 
28134, 7314 
28134, 7314 
28134, 7314 
28134, 7314 
28134, 7314 
28093, 9286 
28093, 9286 
28093, 9286 
28093, 9286 
28093, 9286 
28090, 8655 
28090, 8655 
28090, 8655 
28090, 8655 
28090, 8655 
28055, 9921 
28055, 9921 
28055, 9921 
28055, 9921 
28055, 9921 
28005, 11609 
28005, 11609 
28005, 11609 
28005, 11609 
28005, 11609 
27983, 11928 
27983, 11928 
27983, 11928 
27983, 11928 
27983, 11928 
27956, 12292 
27956, 12292 
27956, 12292 
27956, 12292 
27956, 12292 
27936, 12234 
27936, 12234 
27936, 12234 
27936, 12234 
27936, 12234 
27930, 11872 
27930, 11872 
27930, 11872 
27930, 11872 
27930, 11872 
27913, 12208 
27913, 12208 
27913, 12208 
27913, 12208 
27913, 12208 
27896, 12234 
27896, 12234 
27896, 12234 
27896, 12234 
27896, 12234 
27886, 12181 
27886, 12181 
27886, 12181 
27886, 12181 
27886, 12181 
27867, 12423 
27867, 12423 
27867, 12423 
27867, 12423 
27867, 12423 
27854, 12414 
27854, 12414 
27854, 12414 
27854, 12414 
27854, 12414 
27852, 12195 
27852, 12195 
27852, 12195 
27852, 12195 
27852, 12195 
27872, 10175 
27872, 10175 
27872, 10175 
27872, 10175 
27872, 10175 
27886, 9432 
27886, 9432 
27886, 9432 
27886, 9432 
27886, 9432 
27858, 11043 
27858, 11043 
27858, 11043 
27858, 11043 
27858, 11043 
27852, 10418 
27852, 10418 
27852, 10418 
27852, 10418 
27852, 10418 
27871, 9079 
27871, 9079 
27871, 9079 
27871, 9079 
27871, 9079 
27848, 10574 
27848, 10574 
27848, 10574 
27848, 10574 
27848, 10574 
27840, 10271 
27840, 10271 
27840, 10271 
27840, 10271 
27840, 10271 
27833, 10212 
27833, 10212 
27833, 10212 
27833, 10212 
27833, 10212 
27832, 9677 
27832, 9677 
27832, 9677 
27832, 9677 
27832, 9677 
27864, 7482 
27864, 7482 
27864, 7482 
27864, 7482 
27864, 7482 
27863, 7565 
27863, 7565 
27863, 7565 
27863, 7565 
27863, 7565 
27884, 6399 
27884, 6399 
27884, 6399 
27884, 6399 
27884, 6399 
27920, 4149 
27920, 4149 
27920, 4149 
27920, 4149 
27920, 4149 
27913, 5333 
27913, 5333 
27913, 5333 
